code,name,date,type,entry_price,exit_price,pnl,pnl_pct
8201,無敵,2026-01-08,locked,14.95,14.45,-0.5,-0.033444816053511704
8455,大拓-KY,2026-01-08,locked,23.85,23.35,-0.5,-0.020964360587002094
1810,和成,2026-01-09,locked,20.35,20.0,-0.3500000000000014,-0.01719901719901727
2313,華通,2026-01-09,locked,115.5,119.5,4.0,0.03463203463203463
3230,錦明,2026-01-09,not_locked,38.65,35.35,-3.299999999999997,-0.08538163001293654
3360,尚立,2026-01-09,locked,15.5,16.25,0.75,0.04838709677419355
3543,州巧,2026-01-09,locked,46.75,47.15,0.3999999999999986,0.00855614973262029
3622,洋華,2026-01-09,not_locked,69.6,68.4,-1.1999999999999886,-0.017241379310344664
3623,富晶通,2026-01-09,locked,30.3,31.2,0.8999999999999986,0.029702970297029656
4541,晟田,2026-01-09,locked,45.65,46.2,0.5500000000000043,0.012048192771084432
4743,合一,2026-01-09,locked,69.3,70.0,0.7000000000000028,0.010101010101010142
4973,廣穎,2026-01-09,not_locked,53.3,49.05,-4.25,-0.07973733583489681
5227,立凱-KY,2026-01-09,not_locked,29.2,27.5,-1.6999999999999993,-0.05821917808219176
5263,智崴,2026-01-09,not_locked,121.5,118.5,-3.0,-0.024691358024691357
5291,邑昇,2026-01-09,locked,37.0,40.4,3.3999999999999986,0.09189189189189186
5521,工信,2026-01-09,locked,24.25,24.25,0.0,0.0
5543,桓鼎-KY,2026-01-09,locked,36.9,35.0,-1.8999999999999986,-0.05149051490514901
5546,永固-KY,2026-01-09,not_locked,23.85,23.0,-0.8500000000000014,-0.03563941299790362
6163,華電網,2026-01-09,locked,59.7,62.7,3.0,0.05025125628140703
6419,京晨科,2026-01-09,locked,83.9,85.5,1.5999999999999943,0.019070321811680502
6461,益得,2026-01-09,not_locked,21.55,21.4,-0.15000000000000213,-0.006960556844547662
6515,穎崴,2026-01-09,locked,3490.0,3510.0,20.0,0.0057306590257879654
6516,勤崴國際,2026-01-09,not_locked,70.6,67.0,-3.5999999999999943,-0.05099150141643052
6668,中揚光,2026-01-09,locked,39.05,40.5,1.4500000000000028,0.03713188220230481
6834,天二科技,2026-01-09,locked,29.85,31.3,1.4499999999999993,0.048576214405360106
6934,心誠鎂,2026-01-09,locked,108.0,108.0,0.0,0.0
6953,家碩,2026-01-09,locked,236.5,257.0,20.5,0.08668076109936575
6967,汎瑋材料,2026-01-09,locked,74.0,77.5,3.5,0.0472972972972973
8021,尖點,2026-01-09,locked,215.5,218.5,3.0,0.013921113689095127
8038,長園科,2026-01-09,not_locked,58.8,58.5,-0.29999999999999716,-0.0051020408163264825
8042,金山電,2026-01-09,locked,63.8,64.5,0.7000000000000028,0.010971786833855844
8043,蜜望實,2026-01-09,locked,87.4,90.5,3.0999999999999943,0.03546910755148735
8074,鉅橡,2026-01-09,locked,56.3,57.0,0.7000000000000028,0.012433392539964528
8080,泰霖,2026-01-09,locked,32.7,35.95,3.25,0.09938837920489296
8099,大世科,2026-01-09,not_locked,77.2,74.2,-3.0,-0.038860103626943004
8105,凌巨,2026-01-09,not_locked,15.4,14.55,-0.8499999999999996,-0.05519480519480517
8150,南茂,2026-01-09,locked,58.3,62.0,3.700000000000003,0.06346483704974276
8422,可寧衛*,2026-01-09,locked,39.05,42.85,3.8000000000000043,0.09731113956466081
2313,華通,2026-01-12,locked,127.0,132.0,5.0,0.03937007874015748
2367,燿華,2026-01-12,locked,33.65,35.05,1.3999999999999986,0.041604754829123285
2406,國碩,2026-01-12,locked,28.05,29.8,1.75,0.062388591800356503
2413,環科,2026-01-12,locked,47.3,47.6,0.30000000000000426,0.006342494714587829
2419,仲琦,2026-01-12,locked,28.15,29.3,1.1500000000000021,0.040852575488454786
2444,兆勁,2026-01-12,locked,12.2,12.6,0.40000000000000036,0.03278688524590167
2485,兆赫,2026-01-12,locked,27.5,30.0,2.5,0.09090909090909091
2527,宏璟,2026-01-12,locked,32.2,32.7,0.5,0.015527950310559004
3041,揚智,2026-01-12,not_locked,27.2,26.45,-0.75,-0.027573529411764705
3081,聯亞,2026-01-12,locked,673.0,694.0,21.0,0.031203566121842496
3152,璟德,2026-01-12,locked,155.5,157.5,2.0,0.012861736334405145
3207,耀勝,2026-01-12,locked,83.3,87.0,3.700000000000003,0.044417767106842775
3229,晟鈦,2026-01-12,locked,24.95,25.9,0.9499999999999993,0.038076152304609194
3305,昇貿,2026-01-12,locked,121.5,124.5,3.0,0.024691358024691357
3455,由田,2026-01-12,locked,121.5,124.0,2.5,0.0205761316872428
3481,群創,2026-01-12,locked,22.0,22.25,0.25,0.011363636363636364
3532,台勝科,2026-01-12,not_locked,121.5,121.0,-0.5,-0.00411522633744856
3629,地心引力,2026-01-12,locked,25.0,22.7,-2.3000000000000007,-0.09200000000000003
3708,上緯投控,2026-01-12,not_locked,121.5,119.5,-2.0,-0.01646090534979424
4130,健亞,2026-01-12,locked,36.55,36.9,0.3500000000000014,0.009575923392612899
4433,興采,2026-01-12,locked,22.0,23.95,1.9499999999999993,0.08863636363636361
